,trip_id,start_time,stop_time,bike_id,trip_dur,from_station_id,from_station_name,to_station_id,to_station_name,usertype
69,64356791,2019-02-02 10:20:00,2019-02-02 10:49:00,70420,1753,1033.0,Ivy St & Walnut St   ,1045.0,S 27th St & Sidney St. (Southside Works),Subscriber
70,64356852,2019-02-02 10:25:00,2019-02-02 10:36:00,70145,629,1027.0,Shady Ave & Ellsworth Ave,1023.0,Liberty Ave & Baum Blvd,Subscriber
71,64356946,2019-02-02 10:33:00,2019-02-02 10:33:00,70550,31,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Subscriber
72,64357159,2019-02-02 10:54:00,2019-02-02 10:54:00,70494,13,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
73,64357222,2019-02-02 10:59:00,2019-02-02 11:02:00,70494,171,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Customer
74,64357276,2019-02-02 11:04:00,2019-02-02 11:26:00,70429,1307,1050.0,Healthy Ride Hub,1050.0,Healthy Ride Hub,Subscriber
75,64357384,2019-02-02 11:12:00,2019-02-02 11:49:00,70254,2210,1045.0,S 27th St & Sidney St. (Southside Works),1033.0,Ivy St & Walnut St   ,Subscriber
78,64358618,2019-02-02 13:00:00,2019-02-02 13:02:00,70202,122,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
79,64358669,2019-02-02 13:04:00,2019-02-02 13:06:00,70494,158,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
80,64358722,2019-02-02 13:08:00,2019-02-02 13:10:00,70429,140,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
82,64358929,2019-02-02 13:27:00,2019-02-02 13:31:00,70429,235,1061.0,33rd St and Penn Ave,1050.0,Healthy Ride Hub,Customer
83,64358987,2019-02-02 13:33:00,2019-02-03 09:36:00,70416,72140,1050.0,Healthy Ride Hub,1051.0,Transit,Subscriber
84,64359030,2019-02-02 13:37:00,2019-02-02 13:44:00,70233,410,1046.0,S 25th St & E Carson St,1048.0,S 18th St & Sidney St,Subscriber
85,64359292,2019-02-02 14:01:00,2019-02-02 14:08:00,70145,409,1023.0,Liberty Ave & Baum Blvd,1027.0,Shady Ave & Ellsworth Ave,Subscriber
86,64359456,2019-02-02 14:15:00,2019-02-02 14:32:00,70559,971,1003.0,First Ave & Smithfield St,1047.0,S 22nd St & E Carson St,Subscriber
88,64359837,2019-02-02 14:56:00,2019-02-02 14:59:00,70494,210,1061.0,33rd St and Penn Ave,1060.0,Penn Ave and 29th St,Customer
89,64359845,2019-02-02 14:57:00,2019-02-02 14:58:00,70429,80,1050.0,Healthy Ride Hub,1061.0,33rd St and Penn Ave,Customer
90,64359961,2019-02-02 15:09:00,2019-02-02 15:22:00,70673,780,1048.0,S 18th St & Sidney St,1003.0,First Ave & Smithfield St,Subscriber
91,64359976,2019-02-02 15:10:00,2019-02-02 15:11:00,70354,12,1061.0,33rd St and Penn Ave,1061.0,33rd St and Penn Ave,Customer
92,64360143,2019-02-02 15:32:00,2019-02-02 15:34:00,70125,110,1063.0,Penn Ave & N Atlantic Ave,1063.0,Penn Ave & N Atlantic Ave,Subscriber
93,64360157,2019-02-02 15:34:00,2019-02-02 15:42:00,70247,487,1001.0,Forbes Ave & Market Square,1000.0,Liberty Ave & Stanwix St,Customer
95,64360254,2019-02-02 15:45:00,2019-02-02 15:49:00,70104,243,49431.0,Penn Ave & Negley Ave,49431.0,Penn Ave & Negley Ave,Subscriber
96,64360323,2019-02-02 15:59:00,2019-02-02 16:11:00,70650,752,1094.0,O'Hara St & Desoto St,1031.0,Maryland Ave & Ellsworth Ave,Subscriber
97,64360439,2019-02-02 16:13:00,2019-02-02 16:21:00,70369,480,1036.0,Schenley Dr at Schenley Plaza (Carnegie Library Main),1038.0,Boulevard of the Allies & Parkview Ave,Subscriber
99,64360654,2019-02-02 16:40:00,2019-02-02 16:40:00,70361,6,6666.0,Missing,1051.0,Transit,Customer
100,64360671,2019-02-02 16:42:00,2019-02-02 16:53:00,70280,661,49671.0,9th St & Penn Ave,1059.0,Burns White Center at 3 Crossings,Subscriber
101,64360751,2019-02-02 16:54:00,2019-02-02 16:54:00,70541,6,49431.0,Penn Ave & Negley Ave,49431.0,Penn Ave & Negley Ave,Customer
102,64360990,2019-02-02 17:34:00,2019-02-02 17:46:00,70273,716,1018.0,Butler St & Stanton Ave,49951.0,Butler St & 36th St,Subscriber
